기준연도,학교ID,학교명,위도,경도,반경(km),연도별_위험등급,최종_폐교위험등급,해당등급_시작연도,클러스터,선택_k,공급부담시설_TOP1,공급부담시설_TOP1_지수,공급부담시설_TOP3,시설부담지수_도서관,시설부담지수_청소년시설,시설부담지수_노인여가복지시설,시설부담지수_체육시설,시설부담지수_공원,도서관_시설1개당_이용가능인구,청소년시설_시설1개당_이용가능인구,노인여가복지시설_시설1개당_이용가능인구,체육시설_시설1개당_이용가능인구,공원_시설1개당_이용가능인구,도서관_시설수,도서관_수요인구,도서관_시설없음여부,청소년시설_시설수,청소년시설_수요인구,청소년시설_시설없음여부,노인여가복지시설_시설수,노인여가복지시설_수요인구,노인여가복지시설_시설없음여부,체육시설_시설수,체육시설_수요인구,체육시설_시설없음여부,공원_시설수,공원_수요인구,공원_시설없음여부
2026,B000002266,서울방현초등학교,37.4763055852645,126.990309019032,1,고위험,고위험,2026.0,3,5,체육시설,70.48092868988391,"체육시설(부담지수 70.5, 44,964명/개) > 도서관(부담지수 58.2, 44,964명/개) > 공원(부담지수 30.3, 44,964명/개)",58.2089552238806,30.18242122719735,2.4875621890547266,70.48092868988391,30.34825870646766,44963.57,1087.1075,2372.985,44963.57,44963.57,1,44963.57,0,4,4348.43,0,4,9491.94,0,1,44963.57,0,0,44963.57,1
2026,B000002271,서울양재초등학교,37.4741680965916,127.031857683492,1,고위험,고위험,2026.0,0,5,청소년시설,75.12437810945273,"청소년시설(부담지수 75.1, 2,752명/개) > 도서관(부담지수 51.1, 39,304명/개) > 노인여가복지시설(부담지수 39.8, 6,630명/개)",51.07794361525705,75.12437810945273,39.800995024875625,23.71475953565506,4.809286898839138,39304.15,2751.9,6630.26,13101.383333333333,19652.075,1,39304.15,0,1,2751.9,0,0,6630.26,1,3,39304.15,0,2,39304.15,0
2026,B000002172,서울위례초등학교,37.5223840473061,127.139417765329,1,폐교위험,폐교위험,2026.0,4,5,체육시설,75.29021558872306,"체육시설(부담지수 75.3, 54,905명/개) > 청소년시설(부담지수 70.0, 2,429명/개) > 도서관(부담지수 69.2, 54,905명/개)",69.15422885572139,69.98341625207297,67.16417910447761,75.29021558872306,43.28358208955223,54904.59,2429.0099999999998,11692.99,54904.59,54904.59,1,54904.59,0,3,7287.03,0,1,11692.99,0,0,54904.59,1,0,54904.59,1
2026,B000002086,서울교동초등학교,37.5750056742214,126.988151047115,1,폐교위험,폐교위험,2026.0,4,5,도서관,99.17081260364843,"도서관(부담지수 99.2, 94,133명/개) > 체육시설(부담지수 97.7, 94,133명/개) > 노인여가복지시설(부담지수 69.8, 12,062명/개)",99.17081260364843,66.50082918739635,69.81757877280266,97.6782752902156,33.83084577114428,94133.19,2233.89,12062.16,94133.19,47066.595,1,94133.19,0,1,2233.89,0,1,12062.16,0,1,94133.19,0,2,94133.19,0
2026,B000002083,서울청운초등학교,37.585964668182,126.969299388539,1,고위험,고위험,2026.0,0,5,청소년시설,54.72636815920397,"청소년시설(부담지수 54.7, 1,741명/개) > 체육시설(부담지수 33.8, 16,854명/개) > 도서관(부담지수 7.1, 16,854명/개)",7.131011608623548,54.72636815920397,6.799336650082918,33.83084577114428,3.482587064676617,16853.52,1741.2399999999998,2879.59,16853.52,16853.52,1,16853.52,0,0,1741.2399999999998,1,0,2879.59,1,1,16853.52,0,1,16853.52,0
2026,B000002386,세종초등학교,37.5530165928479,127.072867690484,1,고위험,고위험,2026.0,3,5,도서관,71.4759535655058,"도서관(부담지수 71.5, 57,573명/개) > 청소년시설(부담지수 56.4, 1,789명/개) > 체육시설(부담지수 53.2, 28,786명/개)",71.4759535655058,56.38474295190713,23.88059701492537,53.233830845771145,46.434494195688224,57572.81,1789.105,4821.875,28786.405,57572.81,1,57572.81,0,2,3578.21,0,2,9643.75,0,2,57572.81,0,1,57572.81,0
2026,B000002084,서울매동초등학교,37.5775379120513,126.966843997378,1,고위험,고위험,2026.0,0,5,청소년시설,50.41459369817579,"청소년시설(부담지수 50.4, 1,603명/개) > 노인여가복지시설(부담지수 46.4, 7,544명/개) > 도서관(부담지수 18.7, 23,852명/개)",18.739635157545607,50.41459369817579,46.434494195688224,10.613598673300165,1.1608623548922055,23852.33,1603.315,7543.95,7950.776666666668,11926.165,2,47704.66,0,2,3206.63,0,0,7543.95,1,6,47704.66,0,4,47704.66,0
2026,B000002106,숭의초등학교,37.5563036933368,126.988098553406,1,폐교위험,폐교위험,2026.0,0,5,체육시설,74.12935323383084,"체육시설(부담지수 74.1, 52,871명/개) > 청소년시설(부담지수 70.3, 2,449명/개) > 공원(부담지수 40.3, 52,871명/개)",23.548922056384743,70.3150912106136,39.30348258706468,74.12935323383084,40.298507462686565,26435.51,2448.85,6618.64,52871.02,52871.02,2,52871.02,0,1,2448.85,0,1,6618.64,0,1,52871.02,0,1,52871.02,0
2026,B000002249,서울등원초등학교,37.5606418895197,126.849980606773,1,고위험,고위험,2026.0,0,5,도서관,50.58043117744611,"도서관(부담지수 50.6, 38,694명/개) > 청소년시설(부담지수 46.9, 1,518명/개) > 노인여가복지시설(부담지수 32.8, 5,934명/개)",50.58043117744611,46.93200663349917,32.83582089552239,30.514096185737976,24.875621890547265,38694.02,1518.03,5933.583333333333,15477.607999999998,38694.02,2,77388.04,0,3,4554.09,0,3,17800.75,0,5,77388.04,0,2,77388.04,0
2026,B000002325,서울원신초등학교,37.4671544460058,126.927080080721,1,폐교위험,폐교위험,2026.0,3,5,체육시설,76.11940298507463,"체육시설(부담지수 76.1, 56,718명/개) > 도서관(부담지수 70.8, 56,718명/개) > 노인여가복지시설(부담지수 46.3, 7,526명/개)",70.81260364842454,12.935323383084576,46.26865671641791,76.11940298507463,45.43946932006634,56718.44,660.738,7526.245,56718.44,56718.44,0,56718.44,1,5,3303.69,0,2,15052.49,0,1,56718.44,0,0,56718.44,1
