학교ID,학교명,구명,동명,유아_부족지수,청소년_부족지수,노인_부족지수,다문화_부족지수,장애인_부족지수,유아_시설수,청소년_시설수,노인_시설수,다문화_시설수,장애인_시설수,cluster,cluster_name,추천시설_1순위,추천시설_2순위,추천시설_3순위,추천시설_4순위,추천시설_5순위,추천시설_1순위_부족지수,추천시설_2순위_부족지수,추천시설_3순위_부족지수,추천시설_4순위_부족지수,추천시설_5순위_부족지수
B000001983,서울정심초등학교,금천구,독산4동,0.315075957,0.233161336,1.194504294,0.365440391,1.645142118,0,3,7,0,0,0,장애인 시설 중심 수요군,장애인,노인,다문화,유아,청소년,1.645142118,1.194504294,0.365440391,0.315075957,0.233161336
B000001896,서울연광초등학교,은평구,불광2동,0.518831703,0.430496875,1.882812977,0.245764005,2.802186516,0,3,9,0,0,0,장애인 시설 중심 수요군,장애인,노인,유아,청소년,다문화,2.802186516,1.882812977,0.518831703,0.430496875,0.245764005
B000002325,서울원신초등학교,관악구,삼성동,0.507898468,1.055392747,1.346301197,0.170966265,2.611614498,0,1,11,0,0,0,장애인 시설 중심 수요군,장애인,노인,청소년,유아,다문화,2.611614498,1.346301197,1.055392747,0.507898468,0.170966265
B000001953,서울영일초등학교,구로구,가리봉동,0.034539084,0.118929901,1.279730538,0.111128072,0.186358691,2,2,4,1,3,1,노인 시설 중심 수요군,노인,장애인,청소년,다문화,유아,1.279730538,0.186358691,0.118929901,0.111128072,0.034539084
B000002369,서울광장초등학교,광진구,광장동,1.918285798,5.068175689,0.513585599,0.162417951,1.361228703,0,1,21,0,0,2,청소년 시설 중심 수요군,청소년,유아,장애인,노인,다문화,5.068175689,1.918285798,1.361228703,0.513585599,0.162417951
B000002085,서울재동초등학교,종로구,가회동,0.103368768,0.551482354,0.526397388,0.040604488,0.326694889,0,0,4,0,0,1,노인 시설 중심 수요군,청소년,노인,장애인,유아,다문화,0.551482354,0.526397388,0.326694889,0.103368768,0.040604488
B000002362,서울용답초등학교,성동구,용답동,0.150580465,0.510958091,1.169304063,0.162417951,1.178435134,1,1,5,0,0,0,장애인 시설 중심 수요군,장애인,노인,청소년,다문화,유아,1.178435134,1.169304063,0.510958091,0.162417951,0.150580465
B000001893,서울연신초등학교,은평구,불광2동,0.518831703,0.430496875,1.882812977,0.245764005,2.802186516,0,3,9,0,0,0,장애인 시설 중심 수요군,장애인,노인,유아,청소년,다문화,2.802186516,1.882812977,0.518831703,0.430496875,0.245764005
B000002104,서울충무초등학교,중구,장충동,0.083490159,0.556768127,0.565584749,0.03846741,0.35197485,0,0,4,0,0,1,노인 시설 중심 수요군,노인,청소년,장애인,유아,다문화,0.565584749,0.556768127,0.35197485,0.083490159,0.03846741
B000002299,서울대청초등학교,강남구,일원1동,0.419438656,0.908272056,1.796769749,0.111128072,1.04328457,0,1,5,0,1,0,장애인 시설 중심 수요군,노인,장애인,청소년,유아,다문화,1.796769749,1.04328457,0.908272056,0.419438656,0.111128072
B000002112,서울이태원초등학교,용산구,이태원2동,0.245500825,0.42726668,1.071511127,0.166692108,0.604774467,0,1,4,0,0,1,노인 시설 중심 수요군,노인,장애인,청소년,유아,다문화,1.071511127,0.604774467,0.42726668,0.245500825,0.166692108
B000002114,서울용암초등학교,용산구,용산2가동,0.17095604,0.736484421,1.687591032,0.136773012,0.838127959,0,0,3,0,0,0,장애인 시설 중심 수요군,노인,장애인,청소년,유아,다문화,1.687591032,0.838127959,0.736484421,0.17095604,0.136773012
B000002093,서울효제초등학교,종로구,종로56가동,0.117283795,0.110120278,0.447242817,0.040604488,0.236270411,0,2,6,0,1,1,노인 시설 중심 수요군,노인,장애인,유아,청소년,다문화,0.447242817,0.236270411,0.117283795,0.110120278,0.040604488
B000001884,서울진관초등학교,은평구,진관동,2.391396699,2.173040159,0.538666996,0.326972981,3.725877422,0,3,45,0,0,2,청소년 시설 중심 수요군,장애인,유아,청소년,노인,다문화,3.725877422,2.391396699,2.173040159,0.538666996,0.326972981
B000001990,서울금산초등학교,금천구,시흥3동,0.264385504,0.290717535,1.336347501,0.156006717,0.523100744,0,2,5,0,1,1,노인 시설 중심 수요군,노인,장애인,청소년,유아,다문화,1.336347501,0.523100744,0.290717535,0.264385504,0.156006717
B000002046,서울수암초등학교,노원구,중계본동,0.79116865,1.286792159,0.406530165,0.123950542,0.664085146,0,3,17,0,1,1,노인 시설 중심 수요군,청소년,유아,장애인,노인,다문화,1.286792159,0.79116865,0.664085146,0.406530165,0.123950542
B000001862,서울면북초등학교,중랑구,망우3동,0.380675368,0.797270815,1.642749773,0.211570753,1.789043438,0,1,6,0,0,0,장애인 시설 중심 수요군,장애인,노인,청소년,유아,다문화,1.789043438,1.642749773,0.797270815,0.380675368,0.211570753
B000002005,서울도신초등학교,영등포구,대림3동,0.744453918,0.51448194,0.801001358,0.679590902,2.391873293,0,2,16,0,0,0,장애인 시설 중심 수요군,장애인,노인,유아,다문화,청소년,2.391873293,0.801001358,0.744453918,0.679590902,0.51448194
B000002202,서울양원초등학교,양천구,신월3동,0.458201944,0.165444706,1.43336059,0.1773775,0.983001585,0,5,6,0,1,0,장애인 시설 중심 수요군,노인,장애인,유아,다문화,청소년,1.43336059,0.983001585,0.458201944,0.1773775,0.165444706
