학교ID,학교명,설립형태,hakgudo_nm,school_count,할당_통학구역수,할당_통학구역목록,nearest_추가_통학구역수,nearest_추가_통학구역목록,nearest_평균거리_m,nearest_최대거리_m,2026_신입생_할당,2027_신입생_할당,2028_신입생_할당,2029_신입생_할당,2030_신입생_할당,2031_신입생_할당,2032_신입생_할당,2033_신입생_할당,2026_2033_신입생_할당합계
B000002074,서울중현초등학교,공립,서울중현초통학구역,1,1,서울중현초통학구역,0,,,,81.7,75.4,58.8,68.7,57.7,49.2,44.8,60.8,497.1
B000002266,서울방현초등학교,공립,서울방현초통학구역,1,2,"서울방현초통학구역, 서울방일초서울방현초공동통학구역",1,서울방일초서울방현초공동통학구역,554.6,554.6,51.3,42.3,44.5,40.4,40.3,34.7,34.4,36.2,324.1
B000001946,서울염리초등학교,공립,서울염리초통학구역,1,2,"서울염리초통학구역, 서울염리초서울용강초공동통학구역",1,서울염리초서울용강초공동통학구역,286.5,286.5,247.4,216.0,191.6,171.9,161.9,143.8,145.4,157.0,1435.0
B000002175,서울고일초등학교,공립,서울고일초통학구역,1,1,서울고일초통학구역,0,,,,271.1,278.9,215.5,200.5,182.6,156.7,146.6,118.1,1570.0
B000002012,서울우신초등학교,공립,서울우신초통학구역,1,1,서울우신초통학구역,0,,,,63.3,54.3,44.9,54.4,63.1,60.8,55.9,67.5,464.2
B000002271,서울양재초등학교,공립,서울양재초통학구역,1,1,서울양재초통학구역,0,,,,33.3,34.2,32.4,32.3,30.7,31.1,32.6,33.5,260.1
B000002172,서울위례초등학교,공립,서울위례초통학구역,1,1,서울위례초통학구역,0,,,,2.2,1.9,1.5,1.6,1.3,1.1,1.2,1.2,12.0
B000027451,서울양원숲초등학교,공립,서울양원숲초통학구역,1,1,서울양원숲초통학구역,0,,,,161.4,161.3,118.5,136.7,144.6,146.4,148.1,136.0,1153.0
B000026183,서울항동초등학교,공립,서울항동초통학구역,1,1,서울항동초통학구역,0,,,,274.9,202.9,165.1,156.8,151.3,102.4,114.4,80.2,1248.0
B000025614,서울하늘숲초등학교,공립,서울하늘숲초통학구역,1,2,"서울하늘숲초통학구역, 서울천왕초서울하늘숲초공동통학구역",1,서울천왕초서울하늘숲초공동통학구역,217.2,217.2,41.6,34.5,30.2,33.0,28.2,27.2,31.1,28.0,253.8
B000001904,서울응암초등학교,공립,서울응암초통학구역,1,1,서울응암초통학구역,0,,,,218.4,200.3,201.3,167.0,193.0,160.4,174.7,169.8,1484.9
B000002301,서울일원초등학교,공립,서울일원초통학구역,1,1,서울일원초통학구역,0,,,,198.3,170.0,156.5,142.8,137.3,140.9,165.2,209.0,1320.0
B000002170,서울천동초등학교,공립,서울천동초통학구역,1,1,서울천동초통학구역,0,,,,151.4,132.1,142.3,163.9,176.0,175.2,201.8,222.3,1365.0
B000002389,서울돈암초등학교,공립,서울돈암초통학구역,1,1,서울돈암초통학구역,0,,,,173.7,150.1,145.5,144.9,133.9,121.7,130.9,146.3,1147.0
B000001983,서울정심초등학교,공립,서울정심초통학구역,1,1,서울정심초통학구역,0,,,,23.1,27.9,19.3,24.5,21.4,16.3,17.0,18.5,168.0
B000002237,서울등촌초등학교,공립,서울등촌초통학구역,1,1,서울등촌초통학구역,0,,,,114.6,117.0,108.1,125.3,113.6,115.2,127.7,133.4,954.9
B000002030,서울월천초등학교,공립,서울월천초통학구역,1,1,서울월천초통학구역,0,,,,65.3,52.6,43.9,55.7,43.8,50.4,46.3,52.0,410.0
B000022754,서울세명초등학교,공립,서울세명초통학구역,1,1,서울세명초통학구역,0,,,,89.4,88.4,76.4,64.4,61.9,66.0,65.3,76.2,588.0
B000001843,서울이문초등학교,공립,서울이문초통학구역,1,1,서울이문초통학구역,0,,,,109.9,117.2,105.2,98.6,110.1,89.8,103.7,115.4,849.9
B000002181,서울천일초등학교,공립,서울천일초통학구역,1,1,서울천일초통학구역,0,,,,71.0,60.0,67.0,75.6,79.0,78.3,85.5,106.6,623.0
B000002163,서울묘곡초등학교,공립,서울묘곡초통학구역,1,1,서울묘곡초통학구역,0,,,,191.4,152.3,117.6,107.8,72.8,68.7,59.2,61.2,831.0
B000002060,서울상천초등학교,공립,서울상천초통학구역,1,1,서울상천초통학구역,0,,,,49.4,50.8,43.4,41.9,47.9,47.4,51.8,66.3,398.9
B000002201,서울정목초등학교,공립,서울정목초통학구역,1,1,서울정목초통학구역,0,,,,123.7,115.1,88.5,74.3,81.2,71.9,69.4,79.0,703.1
B000002183,서울강동초등학교,공립,서울강동초통학구역,1,1,서울강동초통학구역,0,,,,118.1,96.3,100.1,101.6,105.5,91.4,118.0,133.0,864.0
B000002352,서울금호초등학교,공립,서울금호초통학구역,1,2,"서울금호초통학구역, 서울금옥초서울금호초공동통학구역",1,서울금옥초서울금호초공동통학구역,364.6,364.6,198.6,198.0,186.7,208.1,184.5,173.4,180.2,266.4,1595.9
