학교ID,학교명,hakgudo_nm,school_count,최종_폐교위험등급,해당등급_시작연도,최초_폐교위험연도,최초_고위험연도,최초_안전연도,최소_신입생수,최소_신입생수_연도
B000002074,서울중현초등학교,서울중현초통학구역,1,안전,2026,,,2026.0,44.8,2032
B000002266,서울방현초등학교,서울방현초통학구역,1,고위험,2031,,2031.0,2026.0,34.4,2032
B000001946,서울염리초등학교,서울염리초통학구역,1,안전,2026,,,2026.0,143.8,2031
B000002175,서울고일초등학교,서울고일초통학구역,1,안전,2026,,,2026.0,118.1,2033
B000002012,서울우신초등학교,서울우신초통학구역,1,안전,2026,,,2026.0,44.9,2028
B000002271,서울양재초등학교,서울양재초통학구역,1,고위험,2026,,2026.0,,30.7,2030
B000002172,서울위례초등학교,서울위례초통학구역,1,폐교위험,2026,2026.0,,,1.1,2031
B000027451,서울양원숲초등학교,서울양원숲초통학구역,1,안전,2026,,,2026.0,118.5,2028
B000026183,서울항동초등학교,서울항동초통학구역,1,안전,2026,,,2026.0,80.2,2033
B000025614,서울하늘숲초등학교,서울하늘숲초통학구역,1,고위험,2027,,2027.0,2026.0,27.2,2031
B000001904,서울응암초등학교,서울응암초통학구역,1,안전,2026,,,2026.0,160.4,2031
B000002301,서울일원초등학교,서울일원초통학구역,1,안전,2026,,,2026.0,137.3,2030
B000002170,서울천동초등학교,서울천동초통학구역,1,안전,2026,,,2026.0,132.1,2027
B000002389,서울돈암초등학교,서울돈암초통학구역,1,안전,2026,,,2026.0,121.7,2031
B000001983,서울정심초등학교,서울정심초통학구역,1,폐교위험,2031,2031.0,2026.0,,16.3,2031
B000002237,서울등촌초등학교,서울등촌초통학구역,1,안전,2026,,,2026.0,108.1,2028
B000002030,서울월천초등학교,서울월천초통학구역,1,안전,2026,,,2026.0,43.8,2030
B000022754,서울세명초등학교,서울세명초통학구역,1,안전,2026,,,2026.0,61.9,2030
B000001843,서울이문초등학교,서울이문초통학구역,1,안전,2026,,,2026.0,89.8,2031
B000002181,서울천일초등학교,서울천일초통학구역,1,안전,2026,,,2026.0,60.0,2027
B000002163,서울묘곡초등학교,서울묘곡초통학구역,1,안전,2026,,,2026.0,59.2,2032
B000002060,서울상천초등학교,서울상천초통학구역,1,안전,2026,,,2026.0,41.9,2029
B000002201,서울정목초등학교,서울정목초통학구역,1,안전,2026,,,2026.0,69.4,2032
B000002183,서울강동초등학교,서울강동초통학구역,1,안전,2026,,,2026.0,91.4,2031
B000002352,서울금호초등학교,서울금호초통학구역,1,안전,2026,,,2026.0,173.4,2031
B000002033,서울창동초등학교,서울창동초통학구역,1,안전,2026,,,2026.0,58.0,2031
B000002165,서울고덕초등학교,서울고덕초통학구역,1,안전,2026,,,2026.0,139.3,2031
B000002086,서울교동초등학교,서울교동초통학구역,1,고위험,2026,,2026.0,,18.8,2027
B000002173,서울명원초등학교,서울명원초통학구역,1,안전,2026,,,2026.0,83.9,2031
B000002378,서울성자초등학교,서울성자초통학구역,1,안전,2026,,,2026.0,68.5,2028
B000002032,서울가인초등학교,서울가인초통학구역,1,안전,2026,,,2026.0,73.2,2031
B000002051,서울공연초등학교,서울공연초통학구역,1,안전,2026,,,2026.0,77.1,2031
B000001882,서울신도초등학교,서울신도초통학구역,1,안전,2026,,,2026.0,42.4,2033
B000024205,서울강솔초등학교,서울강솔초통학구역,1,안전,2026,,,2026.0,63.6,2033
B000001896,서울연광초등학교,서울연광초통학구역,1,폐교위험,2027,2027.0,2026.0,,12.1,2030
B000024775,서울금나래초등학교,서울금나래초통학구역,1,안전,2026,,,2026.0,134.0,2027
B000002220,서울등마초등학교,서울등마초통학구역,1,안전,2026,,,2026.0,120.1,2028
